Age,Annual_Income,Loan_Amount,Credit_Score,Employment_Years,Debt_to_Income_Ratio,Loan_Term_Months,Num_Credit_Lines,Home_Ownership,Loan_Purpose,Marital_Status,Education,Has_CoSigner,Previous_Defaults,Default
45,39660.86,8308.66,637,0.3,0.556,60,4,Mortgage,Education,Single,PhD,1,0,1
38,39077.14,10787.58,647,21.3,0.134,60,1,Mortgage,Auto,Single,High School,0,1,0
47,19973.83,8794.07,655,8.0,0.135,36,6,Own,Home Improvement,Single,Bachelor,1,0,0
58,41562.55,14433.29,735,10.2,0.341,12,8,Own,Education,Married,Master,0,0,0
37,70715.11,30884.97,582,5.9,0.389,48,3,Mortgage,Debt Consolidation,Married,Bachelor,1,0,0
37,25922.95,7787.46,573,1.0,0.344,24,1,Own,Medical,Married,High School,0,0,0
58,82804.8,26918.64,761,0.2,0.223,48,2,Rent,Auto,Married,Bachelor,0,0,1
49,62560.38,7729.73,608,10.0,0.179,36,3,Rent,Auto,Single,Master,1,0,0
34,33958.12,7380.97,536,2.5,0.38,48,5,Own,Auto,Married,Bachelor,0,0,0
46,45671.75,23694.93,606,1.5,0.202,36,4,Mortgage,Debt Consolidation,Divorced,Bachelor,0,1,0
34,109006.29,25472.52,620,4.1,0.211,60,3,Mortgage,Education,Married,Bachelor,0,0,0
34,70740.53,24245.52,789,2.7,0.203,24,2,Rent,Debt Consolidation,Married,Master,0,0,0
42,49236.57,5318.47,733,5.3,0.447,12,4,Rent,Medical,Married,Master,0,1,0
21,43527.94,9641.52,753,3.3,0.397,48,2,Mortgage,Home Improvement,Married,Bachelor,0,0,0
21,50934.95,23767.92,723,6.0,0.072,36,3,Mortgage,Medical,Single,Bachelor,0,0,0
33,37953.55,13753.92,735,9.6,0.378,36,1,Mortgage,Auto,Divorced,Bachelor,0,0,0
27,17113.54,6300.69,588,1.1,0.068,60,0,Mortgage,Education,Married,High School,0,0,0
43,136092.35,18413.19,632,2.0,0.262,36,2,Own,Business,Divorced,Bachelor,1,1,1
29,52979.62,8100.13,560,2.9,0.398,48,2,Mortgage,Home Improvement,Married,High School,0,0,0
23,59818.7,46918.5,631,16.4,0.237,12,4,Rent,Medical,Single,High School,0,0,0
57,47621.81,39394.8,711,2.3,0.035,48,4,Rent,Home Improvement,Married,High School,0,1,1
37,33943.12,20391.39,662,,0.498,36,3,Rent,Business,Single,High School,0,1,0
40,44669.12,34637.93,768,5.3,0.449,36,3,Own,Auto,Single,Bachelor,1,1,1
22,22033.13,13979.59,547,2.7,0.277,48,3,Mortgage,Medical,Married,High School,0,0,0
33,153053.57,22829.44,695,15.1,0.298,36,1,Rent,Home Improvement,Married,Bachelor,1,0,0
41,26442.93,37586.65,537,11.2,0.413,60,1,Own,Home Improvement,Single,Master,1,0,0
26,29261.18,15864.66,658,3.6,0.108,48,2,Rent,Debt Consolidation,Married,Bachelor,1,0,0
44,39335.02,11174.27,716,5.2,0.143,48,4,Own,Auto,Divorced,Master,1,0,0
32,93343.16,4051.18,630,0.3,0.211,36,4,Rent,Education,Single,High School,0,0,0
36,49377.72,12604.47,699,5.9,0.764,36,4,Own,Medical,Single,High School,1,1,0
32,26421.47,23775.15,563,6.1,0.306,12,5,Mortgage,Auto,Married,Master,1,0,0
62,91781.79,25898.58,500,2.2,0.384,12,6,Own,Education,Single,PhD,0,0,0
39,70650.49,19016.37,700,1.2,0.374,12,5,Own,Debt Consolidation,Divorced,Bachelor,0,0,0
27,64165.28,9146.17,806,12.3,0.32,60,2,Rent,Education,Married,Bachelor,0,0,0
49,70113.25,3348.36,560,2.8,0.061,36,5,Own,Business,Single,Bachelor,0,0,0
25,162296.62,9446.03,759,5.3,0.08,48,5,Rent,Education,Married,Bachelor,0,0,0
42,146173.19,10796.3,653,0.2,0.399,36,2,Rent,Auto,Single,Bachelor,1,0,0
21,34774.59,10731.62,529,2.7,0.409,36,6,Rent,Debt Consolidation,Single,High School,1,1,1
24,110408.51,20598.83,548,8.5,0.261,36,4,Rent,Business,Single,High School,0,0,0
42,59372.36,53635.88,651,2.5,0.251,36,4,Rent,Auto,Married,High School,0,0,1
48,62915.5,14566.37,613,4.6,0.065,60,4,Own,Business,Single,High School,0,0,0
42,21033.35,11479.15,531,1.2,0.135,60,3,Rent,Education,Single,High School,0,1,0
38,45017.52,11142.75,497,2.7,0.368,48,6,Own,Medical,Married,High School,1,0,1
36,32649.61,14575.09,573,13.1,0.227,60,7,Own,Home Improvement,Married,High School,1,1,1
