raw_date,score,parsed_date,day_of_week,month,year,day_of_year,is_holiday,gender_label,gender_Female,gender_Male,gender_Unknown,city_London,city_New York,city_Paris,city_Tokyo
2023-01-01 00:00:00,51,2023-01-01,6,1,2023,1,1,2,0,0,1,1,0,0,0
2023-01-02 00:00:00,19,2023-01-02,0,1,2023,2,1,0,0,1,0,1,0,0,0
2023-01-03 00:00:00,21,2023-01-03,1,1,2023,3,0,2,0,0,1,0,0,1,0
2023-01-04 00:00:00,5,2023-01-04,2,1,2023,4,0,2,0,0,1,1,0,0,0
2023-01-05 00:00:00,82,2023-01-05,3,1,2023,5,0,0,0,1,0,0,0,0,1
2023-01-06 00:00:00,92,2023-01-06,4,1,2023,6,0,0,0,1,0,0,1,0,0
2023-01-07 00:00:00,42,2023-01-07,5,1,2023,7,0,2,0,0,1,0,0,0,1
2023-01-08 00:00:00,61,2023-01-08,6,1,2023,8,0,1,1,0,0,0,1,0,0
2023-01-09 00:00:00,22,2023-01-09,0,1,2023,9,0,2,0,0,1,0,1,0,0
2023-01-10 00:00:00,21,2023-01-10,1,1,2023,10,0,2,0,0,1,0,0,0,1
2023-01-11 00:00:00,70,2023-01-11,2,1,2023,11,0,2,0,0,1,0,0,0,1
2023-01-12 00:00:00,1,2023-01-12,3,1,2023,12,0,2,0,0,1,0,0,0,1
2023-01-13 00:00:00,5,2023-01-13,4,1,2023,13,0,0,0,1,0,0,0,0,1
2023-01-14 00:00:00,12,2023-01-14,5,1,2023,14,0,2,0,0,1,0,0,1,0
2023-01-15 00:00:00,90,2023-01-15,6,1,2023,15,0,1,1,0,0,1,0,0,0
2023-01-16 00:00:00,46,2023-01-16,0,1,2023,16,1,0,0,1,0,0,1,0,0
2023-01-18 00:00:00,49,2023-01-18,2,1,2023,18,0,1,1,0,0,0,0,0,1
2023-01-19 00:00:00,78,2023-01-19,3,1,2023,19,0,1,1,0,0,0,0,0,1
2023-01-20 00:00:00,90,2023-01-20,4,1,2023,20,0,1,1,0,0,0,0,1,0
2023-01-21 00:00:00,45,2023-01-21,5,1,2023,21,0,0,0,1,0,0,0,0,1
2023-01-22 00:00:00,27,2023-01-22,6,1,2023,22,0,0,0,1,0,0,0,0,1
2023-01-23 00:00:00,73,2023-01-23,0,1,2023,23,0,1,1,0,0,0,0,0,1
2023-01-24 00:00:00,26,2023-01-24,1,1,2023,24,0,1,1,0,0,1,0,0,0
2023-01-25 00:00:00,47,2023-01-25,2,1,2023,25,0,0,0,1,0,0,0,1,0
2023-01-26 00:00:00,86,2023-01-26,3,1,2023,26,0,0,0,1,0,0,0,0,1
2023-01-27 00:00:00,56,2023-01-27,4,1,2023,27,0,0,0,1,0,0,1,0,0
2023-01-28 00:00:00,94,2023-01-28,5,1,2023,28,0,2,0,0,1,0,1,0,0
