User_ID,Age,Score
1,56,72
2,46,71
3,32,11
4,25,33
5,38,32
6,56,47
7,36,22
8,40,61
9,28,87
10,28,36
11,41,98
12,53,43
13,57,85
14,41,90
15,20,34
16,39,64
17,19,98
18,41,100
19,47,46
20,55,77
21,19,2
22,38,0
23,50,4
24,29,89
25,39,13
26,42,26
27,44,8
28,59,78
29,45,14
30,33,89
31,32,41
32,20,76
33,54,50
34,24,62
35,38,95
36,26,51
37,56,95
38,35,3
39,21,93
40,42,100
41,31,22
42,26,14
43,43,42
44,19,28
45,37,35
46,45,12
47,24,31
48,25,70
49,52,58
50,31,85
51,34,27
52,53,65
53,57,41
54,21,44
55,19,61
56,23,56
57,59,5
58,21,27
59,46,27
60,35,43
61,43,83
62,51,29
63,27,61
64,53,74
65,31,91
66,48,88
67,32,61
68,25,96
69,31,0
70,40,26
71,57,61
72,38,76
73,33,2
74,35,69
75,41,71
76,43,26
77,42,8
78,58,61
79,46,36
80,32,96
81,18,50
82,42,43
83,24,23
84,26,78
85,41,58
86,18,31
87,25,95
88,41,87
89,28,51
90,34,61
91,25,57
92,52,51
93,52,11
94,50,38
95,22,1
96,59,2
97,56,100
98,58,55
99,45,80
100,24,58
