User_ID,Age,Score,Month,DayOfWeek,Is_Weekend,Dept_HR,Dept_Marketing,Dept_Sales,City_New York,City_Paris,City_Tokyo
1,34.96714153011233,65.4589188198587,1,6,1,0,0,1,0,0,0
2,28.617356988288154,32.6696784943244,1,0,0,1,0,0,1,0,0
3,36.47688538100692,58.63155785336221,1,1,0,0,0,0,0,1,0
4,45.23029856408026,40.71142312757948,1,2,0,0,0,1,0,0,1
5,27.65846625276664,45.08895790443571,1,3,0,0,0,1,0,0,1
6,27.6586304305082,50.71406400300376,1,4,0,1,0,0,0,0,0
7,45.79212815507391,48.20763422410161,1,5,1,0,0,0,0,0,1
8,37.67434729152909,24.85841537760597,1,6,1,0,0,0,1,0,0
9,25.30525614065048,70.72718031744975,1,0,0,0,0,1,0,1,0
10,35.42560043585965,67.01613828138346,1,1,0,0,1,0,0,0,1
11,25.365823071875376,47.805252603108045,1,2,0,0,0,1,0,1,0
12,25.34270246429743,64.01597940093626,1,3,0,0,0,1,0,0,0
13,30.03303356888268,44.03457257993037,1,4,0,0,0,1,0,1,0
14,10.86719755342202,35.26703834383274,1,5,1,0,0,1,0,0,1
15,12.750821674869671,50.81619521300863,1,6,1,1,0,0,0,0,1
16,24.37712470759028,32.4664571227292,1,0,0,0,0,0,0,0,0
17,19.87168879665576,59.13575935224985,1,1,0,1,0,0,0,0,0
18,33.142473325952736,39.46155875840387,1,2,0,1,0,0,0,1,0
19,20.91975924478789,25.99953681150532,1,3,0,1,0,0,0,1,0
21,44.65648768921554,48.09415521703112,1,4,0,0,0,1,0,0,0
22,27.742236995134643,54.81053734608721,1,5,1,0,1,0,0,0,1
23,30.67528204687924,70.06604567214987,1,6,1,0,0,0,0,1,0
24,15.752518137865431,23.974841536241087,1,0,0,0,1,0,0,0,0
25,24.55617275474817,65.13798219563905,1,1,0,1,0,0,0,1,0
26,31.10922589709866,42.69261216237729,1,2,0,1,0,0,0,0,0
27,18.490064225776973,49.0753511789286,1,3,0,0,1,0,0,0,1
28,33.75698018345672,50.08669366612212,1,4,0,0,1,0,0,1,0
29,23.99361310081195,49.84397539196291,1,5,1,0,1,0,0,1,0
30,27.083062502067232,19.504975076222365,1,6,1,1,0,0,1,0,0
31,23.98293387770603,60.73761510981976,1,0,0,1,0,0,1,0,0
32,48.522781845089376,62.51781138424344,1,1,0,0,0,0,0,0,1
33,29.865027752620662,64.35015970436623,2,2,0,0,0,0,0,0,0
34,19.422890710441,57.31214180519531,2,3,0,1,0,0,1,0,0
35,38.225449121031886,46.89318788927858,2,4,0,0,1,0,1,0,0
36,17.791563500289776,27.979782277060508,2,5,1,0,1,0,0,0,1
37,32.08863595004755,56.72802491661899,2,6,1,0,0,0,0,0,0
38,10.403298761202244,50.57811430227216,2,0,0,1,0,0,0,0,1
39,16.718139511015693,49.96323825320226,2,1,0,0,0,0,0,1,0
40,31.968612358691235,56.60983216937764,2,2,0,0,0,0,0,1,0
41,37.38466579995411,49.32332000821837,2,3,0,0,0,1,0,0,0
42,31.713682811899705,43.33972704051391,2,4,0,0,0,1,1,0,0
43,28.8435171761176,50.02407387900535,2,5,1,0,0,1,0,0,1
44,26.98896304410712,49.91218571287624,2,6,1,0,1,0,0,0,1
45,15.214780096325724,72.10053510847706,2,0,0,1,0,0,0,1,0
46,22.801557916052914,33.46032615077704,2,1,0,1,0,0,0,0,1
47,25.393612290402125,65.04693878307322,2,2,0,1,0,0,1,0,0
48,40.57122226218915,60.717884182800674,2,3,0,1,0,0,0,0,0
49,33.43618289568462,24.31840253138948,2,4,0,0,0,1,0,0,1
50,12.36959844637266,59.12780655116709,2,5,1,0,1,0,1,0,0
51,33.24083969394795,50.27198340357827,2,6,1,0,1,0,0,0,0
52,26.149177195836835,48.74821480748763,2,0,0,0,0,1,0,0,1
53,23.230779996940413,79.94321786442072,2,1,0,0,1,0,0,0,1
54,36.11676288840868,50.02407387900535,2,2,0,0,0,1,0,0,0
55,40.30999522495951,36.07812465004049,2,3,0,1,0,0,0,0,1
56,39.31280119116199,59.59605110343646,2,4,0,0,0,1,0,0,1
57,21.60782476777361,36.24732493191434,2,5,1,1,0,0,0,0,1
58,26.90787624148785,36.87878653926798,2,6,1,1,0,0,0,1,0
59,33.31263431403564,52.40609584463239,2,0,0,0,0,0,0,0,0
60,39.75545127122359,67.60576094667954,2,1,0,0,0,1,0,1,0
61,25.2082576215471,27.691043032552727,3,2,0,0,0,0,0,0,0
62,28.143410233361827,42.44315952265615,3,3,0,0,0,1,0,1,0
63,30.03303356888268,67.6375109245495,3,4,0,0,0,1,0,0,1
64,18.03793375919329,35.88754533586287,3,5,1,0,0,0,1,0,0
65,30.03303356888268,50.47102463440646,3,6,1,0,0,0,0,0,0
66,43.56240028570823,45.340110143916135,3,0,0,0,0,1,1,0,0
67,29.27989878419666,69.14806007706787,3,1,0,0,1,0,0,0,0
68,40.03532897892024,50.02407387900535,3,2,0,1,0,0,0,0,0
69,30.03303356888268,45.51923788704479,3,3,0,0,0,0,0,0,1
70,23.54880245394876,37.45097436721523,3,4,0,1,0,0,0,0,0
71,33.61395605508414,81.57607364966957,3,5,1,0,1,0,0,0,1
72,45.38036566465969,48.863618334059545,3,6,1,0,1,0,0,0,1
73,29.641739608900483,46.60567726033793,3,0,0,0,1,0,0,0,1
74,45.64643655814006,57.490443425631845,3,1,0,0,0,0,0,1,0
76,38.21902504375224,28.99870825074834,3,2,0,0,1,0,0,1,0
77,30.87047068238171,47.14998064087083,3,3,0,0,0,0,0,0,1
78,27.009926495341325,33.91488168458184,3,4,0,0,1,0,1,0,0
79,30.917607765355022,41.53186571602559,3,5,1,1,0,0,1,0,0
80,10.124310853991071,69.10234977052096,3,6,1,1,0,0,0,0,0
81,27.80328112162488,67.30133833688105,3,0,0,0,0,1,1,0,0
82,30.03303356888268,58.83215238542892,3,1,0,1,0,0,0,0,0
83,44.77894044741516,28.921480368616933,3,2,0,0,0,1,0,0,0
84,24.81729781726353,52.8005330908142,3,3,0,1,0,0,0,0,0
85,21.91506397106812,41.3659970480307,3,4,0,0,0,0,0,1,0
86,24.98242956415464,64.87869810885974,3,5,1,1,0,0,0,0,1
87,39.15402117702074,41.54939060018248,3,6,1,0,0,1,1,0,0
88,33.287511096596845,37.57955386936075,3,0,0,0,0,1,0,0,1
89,24.702397962329613,55.410057709873485,3,1,0,0,1,0,0,0,1
90,35.13267433113356,68.2025592528345,3,2,0,0,0,0,0,1,0
91,30.970775493480403,66.01906842391267,3,3,0,1,0,0,0,0,0
92,39.68644990532889,69.48902148534678,3,4,0,0,1,0,0,0,1
93,22.979469061226474,69.62688533368966,4,5,1,1,0,0,0,0,0
94,30.03303356888268,74.49006061936366,4,6,1,1,0,0,0,1,0
95,26.078918468678424,52.70937861338935,4,0,0,0,1,0,0,0,1
96,15.364850518678814,43.33055917877835,4,1,0,0,1,0,1,0,0
97,32.96120277064576,37.61747581323152,4,2,0,0,1,0,0,0,1
98,32.610552721798896,67.92035279636232,4,3,0,0,1,0,0,1,0
99,30.051134566424608,47.41225873940888,4,4,0,0,1,0,0,1,0
100,27.65412866624853,36.351688377089886,4,5,1,1,0,0,0,0,1
101,15.846292579495858,57.83927703050213,4,6,1,0,1,0,1,0,0
102,25.79354677234641,28.289132265550503,4,0,0,0,0,0,0,0,0
103,30.03303356888268,33.79900593879851,4,1,0,0,0,1,0,0,1
104,21.97722730778381,53.259836816069246,4,2,0,0,1,0,0,0,1
105,28.38714288333991,63.23040492253472,4,3,0,0,1,0,1,0,0
106,34.040508568145384,45.03610890099568,4,4,0,1,0,0,1,0,0
107,48.8618590121053,46.51240301852332,4,5,1,0,1,0,0,1,0
108,31.74577812831839,61.79964010558133,4,6,1,0,1,0,0,0,0
109,32.57550390722764,62.435511643020845,4,0,0,0,1,0,0,0,0
110,29.255540842338327,18.878485314280223,4,1,0,1,0,0,0,0,1
111,10.812287847009586,72.24695121440112,4,2,0,0,1,0,0,0,0
112,30.03303356888268,45.09347690161978,4,3,0,0,0,1,0,1,0
113,30.602302099410263,38.801742561857104,4,4,0,1,0,0,0,1,0
114,54.63242112485286,42.974094236834496,4,5,1,0,0,1,1,0,0
115,28.07639035218877,29.53042077700848,4,6,1,1,0,0,1,0,0
117,29.652882302947567,30.422093720799506,4,0,0,0,1,0,0,1,0
118,18.31321962380468,27.51995384274297,4,1,0,0,0,1,1,0,0
119,41.42822814515021,46.07598295923281,4,2,0,1,0,0,0,1,0
120,37.51933032686775,29.30208692424825,4,3,0,0,0,0,1,0,0
121,37.91031947043047,51.83025374084183,4,4,0,0,1,0,0,0,1
122,20.90612545205261,74.62580295643876,4,5,1,1,0,0,0,0,0
123,44.02794310936099,52.47814483784231,4,6,1,0,0,0,0,1,0
124,15.981489372077192,55.08247748760845,5,0,0,1,0,0,1,0,0
125,35.868570938002705,45.63563687326589,5,1,0,0,0,0,0,1,0
126,51.90455625809979,34.38507153265902,5,2,0,0,1,0,0,0,1
127,20.09463674869312,45.615415878055934,5,3,0,0,0,1,0,1,0
128,24.33702270397228,65.81918607741275,5,4,0,0,0,0,1,0,0
129,30.996513650876413,70.36275786644154,5,5,1,1,0,0,1,0,0
130,30.03303356888268,50.62416745785227,5,6,1,0,1,0,0,1,0
131,14.493365689338674,63.16246928009194,5,0,0,0,0,0,0,1,0
132,30.685629748060272,38.378105213756754,5,1,0,1,0,0,1,0,0
133,30.03303356888268,40.771959588430086,5,2,0,1,0,0,0,0,1
134,34.73592430635182,25.999931273676083,5,3,0,1,0,0,0,0,1
135,20.80575765766197,66.63692651446166,5,4,0,0,0,0,0,0,1
136,45.4993440501754,41.360251054186136,5,5,1,0,0,0,0,0,0
137,22.167467076637628,30.080339778599416,5,6,1,0,0,0,0,0,0
138,26.779384837943244,57.52181596419612,5,0,0,0,0,1,0,0,0
139,38.135172173696695,70.15043053084523,5,1,0,0,0,0,0,1,0
140,17.69135683566045,44.43247953526392,5,2,0,0,0,0,0,0,0
141,32.27459934604129,23.43376984941536,5,3,0,0,0,0,0,1,0
142,43.07142754282428,45.14143149388555,5,4,0,0,0,1,0,0,1
143,13.925167654387725,53.58602720551794,5,5,1,0,0,0,1,0,0
144,31.846338585323043,58.930912764507504,5,6,1,1,0,0,0,0,0
145,32.598827942484235,61.65130924696796,5,0,0,0,0,0,1,0,0
146,37.8182287177731,51.13898945058032,5,1,0,1,0,0,0,0,0
147,17.63049289121918,46.11988745948348,5,2,0,1,0,0,0,0,0
148,16.795433869157236,60.28496702981057,5,3,0,1,0,0,1,0,0
149,35.21941565616898,30.152946436418127,5,4,0,0,0,1,0,0,1
150,32.96984673233186,35.46799642835783,5,5,1,0,0,1,0,0,1
151,32.504928503458764,39.092457147758665,5,6,1,0,0,1,0,0,1
152,33.46448209496975,43.372647075086576,5,0,0,0,0,0,1,0,0
153,23.199752784215093,29.256404165934505,5,1,0,1,0,0,0,1,0
154,32.322536971610035,64.58230472788352,5,2,0,0,0,1,1,0,0
155,32.93072473298681,31.81811595977611,6,3,0,0,0,1,0,1,0
157,48.65774511144757,64.7982544507229,6,4,0,0,0,0,0,0,1
158,34.73832920911788,57.73313128173581,6,5,1,0,0,1,0,1,0
159,18.08696502797352,49.09032345383538,6,6,1,0,0,0,0,0,1
160,36.5655360863383,57.02524485668221,6,0,0,0,1,0,0,0,1
161,20.253183297726785,51.62952691784209,6,1,0,0,0,1,0,0,1
162,37.87084603742452,67.45424427195267,6,2,0,0,1,0,0,0,1
